Content,Video title,Video publish time,Duration,Engaged views,Average view duration,Average percentage viewed (%),Stayed to watch (%),Unique viewers,Average views per viewer,New viewers,Returning viewers,Casual viewers,Regular viewers,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
Total,,,,1206,0:01:40,16.08,52.87,1104,1.0888,1079,14,12,2,2140,33.8182,5,4729,2.41
KMkeNKGgwuU,Prisoners are happier than the Symphony Orchestra Players #podcast #dothingsyoudontwanttodo #booktok,"Apr 9, 2026",72,583,0:00:41,57.11,66.93,580,1.0052,575,5,3,2,987,6.7621,0,588,0.51
FCnXReRCY9U,Ever heard of Groupiness? #podcast #dothingsyoudontwanttodo #booktok,"Apr 11, 2026",80,253,0:00:22,27.76,58.03,249,1.0161,239,10,10,0,423,1.6459,0,17,0
OSTMSffhR_I,How to ask for a raise at work? #podcast #dothingsyoudontwanttodo #booktok,"Apr 22, 2026",74,60,0:00:26,36.19,26.2,60,1,58,2,2,0,212,0.5194,0,14,0
FW9TU1Wt1Y8,Sunday Scaries....,"Apr 6, 2026",59,56,0:00:21,36.07,65.88,53,1.0566,51,2,1,1,85,0.3449,0,37,0
3dlvmkbAH9c,The Only 3 Skills You Need to Survive Until 2030 | World of Work Expert,"Jan 8, 2026",3298,55,0:04:33,8.31,,51,1.0392,42,1,1,0,55,4.1848,0,1701,2.41
7EOh7Xswp6E,Ex-Tesla Designer: Why Your Best Ideas Keep Dying At Work | David Imai,"Apr 16, 2026",3104,53,0:09:51,19.05,,40,1.3,34,5,4,1,53,8.7053,3,481,3.74
 -_Z6eiZQk48,Smart Conflict: How to Have Hard Conversations at Work | Louise van Haast & Alice Driscoll,"Dec 4, 2025",3036,23,0:04:07,8.15,,13,1.7692,10,3,2,1,23,1.5806,0,45,6.67
Wzq9cWDxlEI,This is how to be Better at Work #podcast #dothingsyoudontwanttodo #booktok,"Apr 16, 2026",64,21,0:00:13,21.86,9.55,21,1,20,1,1,0,198,0.1412,0,42,0
MJ_rqzhEmts,"""What Doesn't Kill You Makes You Stronger"" Is Backwards | Resilience Expert Tasha Eurich | S4 E3","Oct 9, 2025",3143,14,0:09:59,19.08,,12,1.1667,12,0,0,0,14,2.3325,0,60,10
U2zpw5iRF04,Getting Fired to Harvard Business Review: Project Management Revolution | Antonio Nieto-Rodriguez,"Feb 15, 2026",3608,13,0:16:36,27.61,,10,1.3,7,1,1,0,13,3.5972,1,151,5.3
erFdDlV41Zw,Culture Isn't What You Think It Is | Marcus Collins Takeaways + Retail Worker Abuse | Better at Work,"Apr 9, 2026",1410,11,0:01:11,5.06,,10,1.1,4,6,4,2,11,0.2178,0,236,2.54
FQhEyLbYs60,Why careers aren't ladders anymore (and what to do instead) | Helen Tupper (4K),"Sep 25, 2025",3003,10,0:04:33,9.09,,4,2.5,2,2,2,0,10,0.7585,0,73,8.22
4H9a_Ji2KUo,Your Team Is Too Big (Here's the Ideal Size) | Listener's Questions,"Mar 19, 2026",1498,10,0:03:08,12.56,,9,1.1111,8,1,1,0,10,0.5227,0,102,1.96
e8Z0nuapNLI,Why Following Your Passion is Bad Advice | Laura Gassner-Otting on Defining Your Own Success,"Jan 29, 2026",3658,5,0:00:09,0.27,,5,1,3,2,2,0,5,0.0135,0,70,2.86
MbCplRVfN-g,Regretting a Career Move? Here's What to Do | Better at Work Q&A,"Feb 26, 2026",1810,5,0:06:38,22.02,,5,1,3,2,2,0,5,0.5536,0,63,1.59
-5xBtVx0oNA,How to Return to Work After a Career Break (Even If You Feel Stuck) | Julianne Miles | S4 E7,"Nov 6, 2025",2915,4,0:12:50,26.42,,2,2,3,0,0,0,4,0.8558,0,33,0
Puwc9x1kG1Q,The Hidden Reason Your Team Isn't Working | Colin Fisher,"Mar 5, 2026",3325,4,0:00:16,0.51,,4,1,3,1,1,0,4,0.0187,0,172,0
YpTMyEsPQvk,"Tesla's Secret to Creativity, Breaking Under Burnout, and Cathal Finally Gets New Glasses | S4 E24","Apr 23, 2026",1735,4,0:07:26,25.74,,4,1,2,2,1,1,4,0.4962,0,301,1
4XgEBP5Lnzs,How to Build Your Personal Brand (Even If You're Terrified) | Carlii Lyon,"Nov 20, 2025",4300,4,0:02:40,3.73,,2,2,0,2,2,0,4,0.1783,0,35,8.57
ePWxmi2TI5g,We Can't Yoga Our Way Out of a Bad Workplace | Jennifer Moss | S4 E26,"Apr 30, 2026",3297,4,0:00:15,0.47,,2,1.5,0,2,0,2,4,0.0173,0,142,0.7
DFvdmFnowmY,"Q&A: Work as a ""Friend Factory"" + Burnout Advice You Can Use Tomorrow","Jan 22, 2026",1676,3,0:00:35,2.13,,2,1.5,1,1,1,0,3,0.0298,0,44,4.55
qH8O2GzLAn0,When Your Team Member Hates You + A Thank You Email That Went Viral | Listener Questions,"Feb 5, 2026",1858,3,0:05:45,18.58,,3,1,2,1,1,0,3,0.2877,0,44,6.82
cpG-jQEn3I4,Listener Questions: Quick Fire Q&A + Helen Tupper Takeaways | Better@Work S4,"Oct 2, 2025",2021,2,0:00:33,1.67,,2,1,1,1,0,1,2,0.0188,0,22,9.09
vjhWbIuD1qY,Why I Started Better at Work (And Where We're Going Next) | Listener Q&A with Cathal Quinlan,"Nov 14, 2025",2232,2,0:00:43,1.97,,2,1,0,1,0,1,2,0.0244,0,45,4.44
9uQTA386Fyg,Christmas Episode 2025: Help Annette Ban the Word 'Problematic' | Better at Work Wrap-Up,"Dec 12, 2025",1107,2,0:00:06,0.54,,2,1,0,2,2,0,2,0.0033,0,34,0
PL3DZsQEA3Q,Listener Questions: How to Start a Career Change (When You Don’t Know Where to Begin) S4 E6,"Oct 30, 2025",1423,,,,,0,,,,,,,,,24,0
GqiqiLfZLW8,Stuck in a Grad Program That Feels Too Narrow? Here's What to Do | Listener's Questions | S4 E10,"Nov 27, 2025",1802,,,,,0,,,,,,,,,27,0
FazTBd7CWQ0,How to Handle Conflict At Work,"Dec 5, 2025",37,,,,,0,,,,,,,,,6,0
DUuccCz1wBo,The Four Horsemen of Success,"Jan 30, 2026",99,,,,,0,,,,,,,,,8,0
bKMdpI5h13o,Listener Questions: Our Biggest Takeaways From the Tasha Eurich + Your Questions | Better@Work S4 E4,"Oct 16, 2025",1603,,,,,0,,,,,,,,,22,0
IoKw9wDdAqg,Are you choosing for yourself?,"Feb 2, 2026",66,,,,,0,,,,,,,,,9,0
xLEB8Cj5Jwg,Think of Us as Personal Trainers for Work,"Nov 14, 2025",45,,,,,0,,,,,,,,,7,0
n2b2Mw8JaWk,The Vision for Better@Work,"Dec 8, 2025",74,,,,,0,,,,,,,,,7,0
W5fIXSt3BLs,The Truth About Courage,"Dec 12, 2025",74,,,,,0,,,,,,,,,7,0
VRpJ6LX3_Kk,The One Thing Every Employee Needs (But Never Gets) | Zach Mercurio | S4 E5,"Oct 22, 2025",2750,,,,,0,,,,,,,,,24,0
