Top Demographics,Value,Percentage
Company,Westpac,4%
Company,Laing O'Rourke,3%
Company,Westpac Group,2%
Company,Goldman Sachs,2%
Company,Commonwealth Bank,< 1%
Company,South East Technological University,< 1%
Company,Citi,< 1%
Company,Macquarie Group,< 1%
Company,NAB,< 1%
Location,Greater Sydney Area,27%
Location,"London Area, United Kingdom",15%
Location,Greater Melbourne Area,6%
Location,New York City Metropolitan Area,4%
Location,Greater Dublin,2%
Location,Greater Brisbane Area,2%
Location,Greater Adelaide Area,2%
Location,Waterford Metropolitan Area,1%
Location,San Francisco Bay Area,1%
Company size,"10,001+ employees",27%
Company size,2-10 employees,15%
Company size,"1,001-5,000 employees",10%
Company size,11-50 employees,9%
Company size,51-200 employees,7%
Company size,201-500 employees,5%
Company size,"501-1,000 employees",5%
Company size,"5,001-10,000 employees",4%
Company size,0-1 employees,4%
Seniority,Senior,34%
Seniority,Director,19%
Seniority,Entry,10%
Seniority,Manager,7%
Seniority,CXO,7%
Seniority,VP,6%
Seniority,Owner,5%
Seniority,Partner,4%
Seniority,Training,< 1%
Job title,Founder,6%
Job title,Managing Director,3%
Job title,Chief Executive Officer,2%
Job title,Co-Founder,2%
Job title,Project Manager,1%
Job title,Board Member,1%
Job title,Owner,1%
Job title,General Manager,1%
Job title,Professor,1%
Industry,Financial Services,17%
Industry,Business Consulting and Services,9%
Industry,Banking,9%
Industry,Construction,6%
Industry,Professional Training and Coaching,6%
Industry,IT Services and IT Consulting,5%
Industry,Higher Education,3%
Industry,Human Resources Services,3%
Industry,"Technology, Information and Internet",2%
Industry,Investment Banking,2%
