Date,Impressions,Engagements
5/1/2026,238,7
5/2/2026,206,5
5/3/2026,203,3
5/4/2026,208,6
5/5/2026,280,9
5/6/2026,219,4
5/7/2026,2427,56
5/8/2026,1633,25
5/9/2026,539,12
5/10/2026,452,4
5/11/2026,807,22
5/12/2026,478,9
5/13/2026,361,13
5/14/2026,1283,72
5/15/2026,715,26
5/16/2026,291,12
5/17/2026,255,7
5/18/2026,393,15
5/19/2026,331,5
5/20/2026,919,34
5/21/2026,1185,32
5/22/2026,290,10
5/23/2026,240,3
5/24/2026,179,5
5/25/2026,180,1
5/26/2026,120,5
5/27/2026,596,20
5/28/2026,439,9
5/29/2026,282,2
5/30/2026,183,3
5/31/2026,206,1
6/1/2026,189,4
6/2/2026,306,9
6/3/2026,259,6
6/4/2026,242,13
6/5/2026,954,43
6/6/2026,691,37
6/7/2026,443,9
6/8/2026,341,6
6/9/2026,280,7
6/10/2026,269,32
6/11/2026,808,30
6/12/2026,366,14
6/13/2026,212,11
6/14/2026,206,5
6/15/2026,165,2
