Maximum of 50 posts available to include in this list

Post URL,Post Publish Date,Engagements,,Post URL,Post Publish Date,Impressions
https://www.linkedin.com/posts/cathal-quinlan_getting-ready-to-wrap-up-our-season-and-share-7468604048221380608-hfgb,6/5/2026,114,,https://www.linkedin.com/posts/cathal-quinlan_new-episode-is-live-and-im-asking-nicely-share-7458059026149339136-NrLl,5/7/2026,5203
https://www.linkedin.com/posts/cathal-quinlan_new-episode-is-live-and-im-asking-nicely-share-7458059026149339136-NrLl,5/7/2026,106,,https://www.linkedin.com/posts/cathal-quinlan_getting-ready-to-wrap-up-our-season-and-share-7468604048221380608-hfgb,6/5/2026,2627
https://www.linkedin.com/posts/cathal-quinlan_business-schools-teach-the-wrong-thing-share-7460396161913393152-dAJt,5/14/2026,104,,https://www.linkedin.com/posts/cathal-quinlan_making-our-podcast-betterwork-is-mostly-share-7462918226088292352-xKRc,5/20/2026,2203
https://www.linkedin.com/posts/cathal-quinlan_making-our-podcast-betterwork-is-mostly-share-7462918226088292352-xKRc,5/20/2026,61,,https://www.linkedin.com/posts/cathal-quinlan_business-schools-teach-the-wrong-thing-share-7460396161913393152-dAJt,5/14/2026,1980
https://www.linkedin.com/posts/cathal-quinlan_my-instinct-in-meetings-is-always-the-same-ugcPost-7460400563164381184-jbzK,5/13/2026,49,,https://www.linkedin.com/posts/cathal-quinlan_look-whos-finally-in-the-same-room-annette-share-7470716578632916992-XgeD,6/11/2026,1212
https://www.linkedin.com/posts/cathal-quinlan_look-whos-finally-in-the-same-room-annette-share-7470716578632916992-XgeD,6/11/2026,48,,https://www.linkedin.com/posts/cathal-quinlan_my-instinct-in-meetings-is-always-the-same-ugcPost-7460400563164381184-jbzK,5/13/2026,1182
https://www.linkedin.com/posts/cathal-quinlan_me-attempting-to-mindfulness-my-way-out-share-7459572607693058048-97nw,5/11/2026,23,,https://www.linkedin.com/posts/cathal-quinlan_a-bit-of-a-different-post-this-afternoon-share-7452365531967483906-Mmi-,4/21/2026,934
https://www.linkedin.com/posts/cathal-quinlan_3-keys-from-jennifer-moss-on-building-a-workplace-ugcPost-7457344319495028737-jZ2I,5/5/2026,21,,https://www.linkedin.com/posts/cathal-quinlan_spotted-this-piece-in-the-times-this-morning-share-7465336625858793472-LE45,5/27/2026,892
https://www.linkedin.com/posts/cathal-quinlan_the-newsletter-is-back-if-youre-new-here-ugcPost-7467592266950385665--o7N,6/2/2026,20,,https://www.linkedin.com/posts/cathal-quinlan_the-newsletter-is-back-if-youre-new-here-ugcPost-7467592266950385665--o7N,6/2/2026,710
https://www.linkedin.com/posts/cathal-quinlan_spotted-this-piece-in-the-times-this-morning-share-7465336625858793472-LE45,5/27/2026,18,,https://www.linkedin.com/posts/cathal-quinlan_me-attempting-to-mindfulness-my-way-out-share-7459572607693058048-97nw,5/11/2026,621
