Date,Content,Video title,Video publish time,Duration,Views
2026-05-01, -dqjAAtZyr0,Slow it down #dothingsyoudontwanttodo,"May 13, 2026",49,0
2026-05-02, -dqjAAtZyr0,Slow it down #dothingsyoudontwanttodo,"May 13, 2026",49,0
2026-05-03, -dqjAAtZyr0,Slow it down #dothingsyoudontwanttodo,"May 13, 2026",49,0
2026-05-04, -dqjAAtZyr0,Slow it down #dothingsyoudontwanttodo,"May 13, 2026",49,0
2026-05-05, -dqjAAtZyr0,Slow it down #dothingsyoudontwanttodo,"May 13, 2026",49,0
2026-05-06, -dqjAAtZyr0,Slow it down #dothingsyoudontwanttodo,"May 13, 2026",49,0
2026-05-07, -dqjAAtZyr0,Slow it down #dothingsyoudontwanttodo,"May 13, 2026",49,0
2026-05-08, -dqjAAtZyr0,Slow it down #dothingsyoudontwanttodo,"May 13, 2026",49,0
2026-05-09, -dqjAAtZyr0,Slow it down #dothingsyoudontwanttodo,"May 13, 2026",49,0
2026-05-10, -dqjAAtZyr0,Slow it down #dothingsyoudontwanttodo,"May 13, 2026",49,0
2026-05-11, -dqjAAtZyr0,Slow it down #dothingsyoudontwanttodo,"May 13, 2026",49,0
2026-05-12, -dqjAAtZyr0,Slow it down #dothingsyoudontwanttodo,"May 13, 2026",49,0
2026-05-13, -dqjAAtZyr0,Slow it down #dothingsyoudontwanttodo,"May 13, 2026",49,100
2026-05-14, -dqjAAtZyr0,Slow it down #dothingsyoudontwanttodo,"May 13, 2026",49,0
2026-05-15, -dqjAAtZyr0,Slow it down #dothingsyoudontwanttodo,"May 13, 2026",49,0
2026-05-16, -dqjAAtZyr0,Slow it down #dothingsyoudontwanttodo,"May 13, 2026",49,0
2026-05-17, -dqjAAtZyr0,Slow it down #dothingsyoudontwanttodo,"May 13, 2026",49,0
2026-05-18, -dqjAAtZyr0,Slow it down #dothingsyoudontwanttodo,"May 13, 2026",49,0
2026-05-19, -dqjAAtZyr0,Slow it down #dothingsyoudontwanttodo,"May 13, 2026",49,0
2026-05-20, -dqjAAtZyr0,Slow it down #dothingsyoudontwanttodo,"May 13, 2026",49,0
2026-05-21, -dqjAAtZyr0,Slow it down #dothingsyoudontwanttodo,"May 13, 2026",49,0
2026-05-22, -dqjAAtZyr0,Slow it down #dothingsyoudontwanttodo,"May 13, 2026",49,0
2026-05-23, -dqjAAtZyr0,Slow it down #dothingsyoudontwanttodo,"May 13, 2026",49,0
2026-05-24, -dqjAAtZyr0,Slow it down #dothingsyoudontwanttodo,"May 13, 2026",49,0
2026-05-25, -dqjAAtZyr0,Slow it down #dothingsyoudontwanttodo,"May 13, 2026",49,0
2026-05-26, -dqjAAtZyr0,Slow it down #dothingsyoudontwanttodo,"May 13, 2026",49,0
2026-05-27, -dqjAAtZyr0,Slow it down #dothingsyoudontwanttodo,"May 13, 2026",49,1
2026-05-28, -dqjAAtZyr0,Slow it down #dothingsyoudontwanttodo,"May 13, 2026",49,0
2026-05-29, -dqjAAtZyr0,Slow it down #dothingsyoudontwanttodo,"May 13, 2026",49,0
2026-05-30, -dqjAAtZyr0,Slow it down #dothingsyoudontwanttodo,"May 13, 2026",49,1
2026-05-31, -dqjAAtZyr0,Slow it down #dothingsyoudontwanttodo,"May 13, 2026",49,0
2026-06-01, -dqjAAtZyr0,Slow it down #dothingsyoudontwanttodo,"May 13, 2026",49,0
2026-06-02, -dqjAAtZyr0,Slow it down #dothingsyoudontwanttodo,"May 13, 2026",49,0
2026-06-03, -dqjAAtZyr0,Slow it down #dothingsyoudontwanttodo,"May 13, 2026",49,0
2026-06-04, -dqjAAtZyr0,Slow it down #dothingsyoudontwanttodo,"May 13, 2026",49,1
2026-06-05, -dqjAAtZyr0,Slow it down #dothingsyoudontwanttodo,"May 13, 2026",49,0
2026-06-06, -dqjAAtZyr0,Slow it down #dothingsyoudontwanttodo,"May 13, 2026",49,0
2026-06-07, -dqjAAtZyr0,Slow it down #dothingsyoudontwanttodo,"May 13, 2026",49,0
2026-06-08, -dqjAAtZyr0,Slow it down #dothingsyoudontwanttodo,"May 13, 2026",49,0
2026-06-09, -dqjAAtZyr0,Slow it down #dothingsyoudontwanttodo,"May 13, 2026",49,0
2026-06-10, -dqjAAtZyr0,Slow it down #dothingsyoudontwanttodo,"May 13, 2026",49,0
2026-06-11, -dqjAAtZyr0,Slow it down #dothingsyoudontwanttodo,"May 13, 2026",49,0
2026-06-12, -dqjAAtZyr0,Slow it down #dothingsyoudontwanttodo,"May 13, 2026",49,0
2026-06-13, -dqjAAtZyr0,Slow it down #dothingsyoudontwanttodo,"May 13, 2026",49,0
2026-06-14, -dqjAAtZyr0,Slow it down #dothingsyoudontwanttodo,"May 13, 2026",49,0
2026-05-01,3dlvmkbAH9c,The Only 3 Skills You Need to Survive Until 2030 | World of Work Expert,"Jan 8, 2026",3299,2
2026-05-02,3dlvmkbAH9c,The Only 3 Skills You Need to Survive Until 2030 | World of Work Expert,"Jan 8, 2026",3299,1
2026-05-03,3dlvmkbAH9c,The Only 3 Skills You Need to Survive Until 2030 | World of Work Expert,"Jan 8, 2026",3299,5
2026-05-04,3dlvmkbAH9c,The Only 3 Skills You Need to Survive Until 2030 | World of Work Expert,"Jan 8, 2026",3299,2
2026-05-05,3dlvmkbAH9c,The Only 3 Skills You Need to Survive Until 2030 | World of Work Expert,"Jan 8, 2026",3299,1
2026-05-06,3dlvmkbAH9c,The Only 3 Skills You Need to Survive Until 2030 | World of Work Expert,"Jan 8, 2026",3299,5
2026-05-07,3dlvmkbAH9c,The Only 3 Skills You Need to Survive Until 2030 | World of Work Expert,"Jan 8, 2026",3299,2
2026-05-08,3dlvmkbAH9c,The Only 3 Skills You Need to Survive Until 2030 | World of Work Expert,"Jan 8, 2026",3299,0
2026-05-09,3dlvmkbAH9c,The Only 3 Skills You Need to Survive Until 2030 | World of Work Expert,"Jan 8, 2026",3299,2
2026-05-10,3dlvmkbAH9c,The Only 3 Skills You Need to Survive Until 2030 | World of Work Expert,"Jan 8, 2026",3299,4
2026-05-11,3dlvmkbAH9c,The Only 3 Skills You Need to Survive Until 2030 | World of Work Expert,"Jan 8, 2026",3299,0
2026-05-12,3dlvmkbAH9c,The Only 3 Skills You Need to Survive Until 2030 | World of Work Expert,"Jan 8, 2026",3299,7
2026-05-13,3dlvmkbAH9c,The Only 3 Skills You Need to Survive Until 2030 | World of Work Expert,"Jan 8, 2026",3299,1
2026-05-14,3dlvmkbAH9c,The Only 3 Skills You Need to Survive Until 2030 | World of Work Expert,"Jan 8, 2026",3299,2
2026-05-15,3dlvmkbAH9c,The Only 3 Skills You Need to Survive Until 2030 | World of Work Expert,"Jan 8, 2026",3299,4
2026-05-16,3dlvmkbAH9c,The Only 3 Skills You Need to Survive Until 2030 | World of Work Expert,"Jan 8, 2026",3299,3
2026-05-17,3dlvmkbAH9c,The Only 3 Skills You Need to Survive Until 2030 | World of Work Expert,"Jan 8, 2026",3299,0
2026-05-18,3dlvmkbAH9c,The Only 3 Skills You Need to Survive Until 2030 | World of Work Expert,"Jan 8, 2026",3299,5
