Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
Total,,,,2338,65.6446,10,6068,3.18
pAMDxvS3roY,Your Office is Lying to You??,"May 27, 2026",32,1184,3.3588,0,34,14.71
aZLXS2k8dv0,Why should we share goals?,"May 30, 2026",64,412,0.7227,1,35,2.86
tK5lCsG94Kc,"Admiral William H. McRaven, the retired U.S. Navy Four-Star Admiral and SEAL","May 18, 2026",52,158,0.1689,1,151,4.64
 -dqjAAtZyr0,Slow it down #dothingsyoudontwanttodo,"May 13, 2026",49,103,0.1345,0,47,4.26
3dlvmkbAH9c,The Only 3 Skills You Need to Survive Until 2030 | World of Work Expert,"Jan 8, 2026",3299,83,6.1348,1,1592,3.27
ePWxmi2TI5g,We Can't Yoga Our Way Out of a Bad Workplace | Jennifer Moss | S4 E26,"Apr 30, 2026",3297,71,16.3423,0,693,1.88
yk7ydNChjNU,"Pet Shop Rabbits, Hope, and Big Career Moves | Q&A with Annette","May 7, 2026",1879,48,8.3731,2,317,1.26
jHfphP_y0vM,Listener Questions: Why Your Office Feels Wrong + Helping a Partner Who Can't Stop Working,"Jun 11, 2026",1802,48,4.3287,0,445,3.82
QDVcEa4ySWU,Business Schools Got Leadership Wrong | Wendy Smith | S4 Episode 28,"May 14, 2026",3713,37,1.5729,1,230,3.91
FQhEyLbYs60,Why careers aren't ladders anymore (and what to do instead) | Helen Tupper (4K),"Sep 25, 2025",3003,20,3.3178,0,105,12.38
U2zpw5iRF04,Getting Fired to Harvard Business Review: Project Management Revolution | Antonio Nieto-Rodriguez,"Feb 15, 2026",3608,20,4.2705,0,217,5.07
-5xBtVx0oNA,How to Return to Work After a Career Break (Even If You Feel Stuck) | Julianne Miles | S4 E7,"Nov 6, 2025",2915,20,2.6268,0,82,9.76
drCMMd-Z5Yk,The 3 Things Every Office Steals From You | Leidy Klotz | S4 Episode 30,"May 28, 2026",3143,19,3.626,0,426,2.35
 -_Z6eiZQk48,Smart Conflict: How to Have Hard Conversations at Work | Louise van Haast & Alice Driscoll,"Dec 4, 2025",3036,16,0.5507,0,74,8.11
7EOh7Xswp6E,Ex-Tesla Designer: Why Your Best Ideas Keep Dying At Work | David Imai,"Apr 16, 2026",3104,13,3.0314,0,131,6.11
s6zFZiXrCRg,Why Doing Everything at Work Means You Finish Nothing | Listener Questions | S4 Episode 29,"May 21, 2026",1983,9,2.3068,0,182,1.65
FCnXReRCY9U,Ever heard of Groupiness? #podcast #dothingsyoudontwanttodo #booktok,"Apr 11, 2026",80,9,0.0038,0,40,0
Puwc9x1kG1Q,The Hidden Reason Your Team Isn't Working | Colin Fisher,"Mar 5, 2026",3325,9,2.0796,0,109,6.42
Wzq9cWDxlEI,This is how to be Better at Work #podcast #dothingsyoudontwanttodo #booktok,"Apr 16, 2026",64,8,0.0102,0,56,5.36
MJ_rqzhEmts,"""What Doesn't Kill You Makes You Stronger"" Is Backwards | Resilience Expert Tasha Eurich | S4 E3","Oct 9, 2025",3143,5,1.714,0,86,2.33
KMkeNKGgwuU,Prisoners are happier than the Symphony Orchestra Players #podcast #dothingsyoudontwanttodo #booktok,"Apr 9, 2026",72,4,0.0018,0,43,0
OSTMSffhR_I,How to ask for a raise at work? #podcast #dothingsyoudontwanttodo #booktok,"Apr 22, 2026",74,4,0.0025,0,48,4.17
FazTBd7CWQ0,How to Handle Conflict At Work,"Dec 5, 2025",37,4,0.0022,0,20,5
xLEB8Cj5Jwg,Think of Us as Personal Trainers for Work,"Nov 14, 2025",45,3,0.0052,0,25,0
YpTMyEsPQvk,"Tesla's Secret to Creativity, Breaking Under Burnout, and Cathal Finally Gets New Glasses | S4 E24","Apr 23, 2026",1735,3,0.7245,0,157,1.27
FW9TU1Wt1Y8,Sunday Scaries....,"Apr 6, 2026",59,3,0.0016,0,34,0
n2b2Mw8JaWk,The Vision for Better@Work,"Dec 8, 2025",74,3,0.0017,0,21,0
IoKw9wDdAqg,Are you choosing for yourself?,"Feb 2, 2026",66,3,0.0039,0,29,0
DUuccCz1wBo,The Four Horsemen of Success,"Jan 30, 2026",99,3,0.0007,0,27,0
vjhWbIuD1qY,Why I Started Better at Work (And Where We're Going Next) | Listener Q&A with Cathal Quinlan,"Nov 14, 2025",2232,2,0.0235,0,69,1.45
DFvdmFnowmY,"Q&A: Work as a ""Friend Factory"" + Burnout Advice You Can Use Tomorrow","Jan 22, 2026",1676,2,0.0633,0,38,2.63
